Artikel,Highest,Lowest,Durchschnitt,Median,Low 10%,Target
GTX 1050,1350,10,288,194,97,
GTX 1060,1299,10,342,268,180,
GTX 1080,7800,15,557,467,295,
GTX 1650,3599,35,501,316,198,
GTX 1660,11500,5,643,414,290,
RTX 2080,14000,20,1231,884,512,
RTX 3060,30000,395,1265,765,561,
RTX 3080,45000,40,2258,1598,711,
RX 570,8499,5,577,307,129,
RX 580,7600,20,557,355,193,
RX 5500,3899,125,511,397,199,
RX 6600,16000,429,1059,583,474,
RX 6700,12100,89,1131,793,640,
RX 6800,16000,10,1330,1116,222,
RX 6900,99999,50,2479,1418,408,
i5 10400,1100,110,506,481,115,
i7 10700,2500,15,634,336,135,
i7 8700,3498,4,478,320,147,
Ryzen 5 3600,2150,5,295,193,30,
Ryzen 5 5600X,2250,7,626,247,9,
Ryzen 7 5800,3500,300,1370,1310,331,
Ryzen 9 3900,4000,10,591,375,125,
1151 Mainboard,12345,4,202,106,23,
AM4 Mainboard,409,5,90,69,18,
X570 Mainboard,650,5,197,170,86,
B550 Mainboard,750,5,136,123,39,
B450 Mainboard,440,5,75,59,29,
Netzteil 80PLUS,350,10,53,42,12,
Gigabit Switch 24 Port,499,15,73,55,20,
4K Monitor,2850,12,396,238,107,
34+Zoll Monitor,980,24,387,354,103,
GTX 1070,3000,10,455,374,270,
